date,regime,active_CHAMP,CHAMP_equity,CHAMP_cash,CHAMP_dd_%,CHAMP_ret_%,k_today,VIX,scale
2010-05-25,BEAR,yangbyungi,97240.31982910231,81306.69475904429,0.0,,0.6,,1.0
2010-05-26,BEAR,yangbyungi,95252.75928522216,73566.03626401514,-2.043967509951894,-2.043967509951894,0.3467205948679152,34.61000061035156,0.577867658113192
2010-05-27,BEAR,yangbyungi,96300.73713956322,79089.7714692001,-0.9662480452454214,1.1002073453883154,0.34266133190011683,35.02000045776367,0.571102219833528
2010-05-28,NEUTRAL,longbyungi,96485.24437136277,96485.24437136277,-0.7765044984082481,0.19159482811865747,0.404312664306387,29.68000030517578,0.673854440510645
2010-06-01,BEAR,yangbyungi,95097.24994915322,82596.96811934172,-2.2038902008091776,-1.4385561556617854,0.3741814815775219,32.06999969482422,0.6236358026292032
2010-06-02,BEAR,yangbyungi,96370.84412272867,79403.27971696522,-0.8941514259740546,1.3392544729278866,0.337647712179918,35.540000915527344,0.56274618696653
2010-06-03,BEAR,yangbyungi,96739.36765982471,77437.62959857723,-0.515169191296383,0.3824014829907796,0.3977461043968969,30.170000076293945,0.6629101739948282
2010-06-04,NEUTRAL,longbyungi,96225.1400910294,96225.1400910294,-1.0439905379343362,-0.53155977885192,0.40733198821872274,29.459999084472656,0.6788866470312046
2010-06-07,BEAR,yangbyungi,97139.50072369252,83207.08263905266,-0.10368035151158139,0.9502305029622349,0.33821871913258855,35.47999954223633,0.563697865220981
2010-06-08,BEAR,yangbyungi,96215.94119149479,96215.94119149479,-1.0534505022277263,-0.9507558977729813,0.32813782062181335,36.56999969482422,0.5468963677030223
2010-06-09,BEAR,yangbyungi,95216.53663464154,69399.46085376738,-2.0812181593165557,-1.0387099522980003,0.35608307799199324,33.70000076293945,0.5934717966533221
2010-06-10,BEAR,yangbyungi,95720.29513827007,78171.34208638225,-1.5631629899034216,0.5290661910561933,0.3557663849053343,33.72999954223633,0.5929439748422238
2010-06-11,BEAR,yangbyungi,96282.52384472583,76426.81228388686,-0.9849782333704704,0.5873662483422137,0.39254171147511363,30.56999969482422,0.654236185791856
2010-06-14,NEUTRAL,longbyungi,95479.41550694178,56699.027104294284,-1.8108787849066,-0.8341164166814186,0.4168113795900585,28.790000915527344,0.6946856326500975
2010-06-15,NEUTRAL,longbyungi,101294.09239309735,55876.60444094786,0.0,6.089979557670033,0.41987403890951175,28.579999923706055,0.6997900648491863
2010-06-16,NEUTRAL,longbyungi,101203.61741133354,53769.42897611976,-0.08931910995627623,-0.08931910995627623,0.4638577352421761,25.8700008392334,0.7730962254036269
2010-06-17,NEUTRAL,longbyungi,102099.92225832184,102099.92225832184,0.0,0.8856450687383388,0.46296296160025957,25.920000076293945,0.7716049360004327
2010-06-18,NEUTRAL,longbyungi,102099.92225832184,102099.92225832184,0.0,0.0,0.4790419307576842,25.049999237060547,0.7984032179294737
2010-06-21,NEUTRAL,longbyungi,97143.64661523742,97143.64661523742,-4.8543383123687445,-4.8543383123687445,0.5010438253751106,23.950000762939453,0.835073042291851
2010-06-22,NEUTRAL,longbyungi,93768.39070954165,50289.796185005696,-8.160174233728279,-3.4744999012280675,0.4823151288092832,24.8799991607666,0.803858548015472
2010-06-23,BEAR,yangbyungi,93732.82964152971,75249.8614659837,-8.195003905705867,-0.03792436634867391,0.44362293302984984,27.049999237060547,0.7393715550497497
2010-06-24,BEAR,yangbyungi,93436.7283803515,76735.1774032462,-8.485015156085707,-0.3158992023505669,0.44593088324205327,26.90999984741211,0.7432181387367555
2010-06-25,BEAR,yangbyungi,92482.73433390695,81649.1720454225,-9.419388097164806,-1.0210054043856776,0.40349697687804736,29.739999771118164,0.6724949614634123
2010-06-28,BEAR,yangbyungi,92484.30506455271,72942.26428146995,-9.417849672246337,0.0016984042016776613,0.4206098742092576,28.530000686645508,0.7010164570154294
2010-06-29,BEAR,yangbyungi,91475.28623683826,91475.28623683826,-10.4061156820495,-1.0910162832603487,0.41379310344827586,29.0,0.6896551724137931
2010-06-30,BEAR,yangbyungi,90368.89807053968,79135.39500262387,-11.489748403629163,-1.2094940740978277,0.35159682462508274,34.130001068115234,0.5859947077084713
2010-07-01,BEAR,yangbyungi,89460.8976268892,68981.03683895222,-12.379073707279408,-1.004770958855472,0.3474232681506803,34.540000915527344,0.5790387802511339
2010-07-02,BEAR,yangbyungi,88985.4354964254,79372.86243808671,-12.844756853698303,-0.5314748041616912,0.3651856292485813,32.86000061035156,0.6086427154143021
2010-07-06,BEAR,yangbyungi,87135.0972872704,74887.36885320276,-14.65703855600311,-2.079371976809996,0.39840636340119767,30.1200008392334,0.6640106056686628
2010-07-07,BEAR,yangbyungi,89573.0189010575,69497.55223919253,-12.26925846776863,2.797864109509929,0.4047217590013186,29.649999618530273,0.6745362650021978
2010-07-08,BEAR,yangbyungi,90007.11924200342,78111.63789139008,-11.844086409510235,0.48463292436915495,0.44709388717507026,26.84000015258789,0.7451564786251171
2010-07-09,BEAR,yangbyungi,90307.9458132234,69008.1092308937,-11.549447036074811,0.3342253076794366,0.4667444740302345,25.709999084472656,0.7779074567170575
2010-07-12,BEAR,yangbyungi,90762.53934287997,68680.65297382386,-11.104203279173197,0.5033815414169363,0.48038431624909883,24.979999542236328,0.8006405270818314
2010-07-13,NEUTRAL,longbyungi,92039.14886211243,46576.645362212206,-9.85385020250531,1.4065379048174398,0.4911993389315537,24.43000030517578,0.8186655648859229
2010-07-14,NEUTRAL,longbyungi,94014.15931070119,94014.15931070119,-7.919460435202829,2.145837367039971,0.48859935915880326,24.559999465942383,0.8143322652646722
2010-07-15,NEUTRAL,longbyungi,94014.15931070119,94014.15931070119,-7.919460435202829,0.0,0.4821213456915836,24.889999389648438,0.8035355761526394
2010-07-16,NEUTRAL,longbyungi,94014.15931070119,94014.15931070119,-7.919460435202829,0.0,0.4773269805623416,25.139999389648438,0.7955449676039027
2010-07-19,BEAR,yangbyungi,94579.67632595221,72525.20861111235,-7.365574592057711,0.6015232379859681,0.4571428571428571,26.25,0.7619047619047619
2010-07-20,NEUTRAL,longbyungi,92905.11756552945,92905.11756552945,-9.005692158637224,-1.7705270576859333,0.4620716333184217,25.969999313354492,0.7701193888640362
2010-07-21,NEUTRAL,longbyungi,92905.11756552945,92905.11756552945,-9.005692158637224,0.0,0.5014625928527272,23.93000030517578,0.8357709880878786
2010-07-22,BEAR,yangbyungi,94156.34913291084,71164.44991098081,-7.780195077243112,1.3467843324118878,0.46801873188985815,25.639999389648438,0.7800312198164303
2010-07-23,NEUTRAL,longbyungi,94473.84227204463,48177.43179008417,-7.469231922608676,0.33719780137779765,0.48721073523684616,24.6299991607666,0.8120178920614103
2010-07-26,NEUTRAL,longbyungi,95389.61844879374,46163.33650698546,-6.572290811887626,0.9693436349418993,0.5112910247582312,23.469999313354492,0.8521517079303853
2010-07-27,NEUTRAL,longbyungi,96422.1288826947,96422.1288826947,-5.561016355391358,1.0824138419792684,0.5279366582345016,22.729999542236328,0.8798944303908361
2010-07-28,NEUTRAL,longbyungi,93691.7626326746,46527.10861768732,-8.23522627605323,-2.831680114988766,0.5174644124038029,23.190000534057617,0.8624406873396715
